county	date	fips	new.cases
GILA	2020-04-24	4007	-1
GILA	2020-04-25	4007	0
GILA	2020-04-26	4007	0
GILA	2020-04-27	4007	0
GILA	2020-04-28	4007	0
GILA	2020-04-29	4007	1
GILA	2020-04-30	4007	1
GILA	2020-05-01	4007	0
GILA	2020-05-02	4007	1
GILA	2020-05-03	4007	0
GILA	2020-05-04	4007	0
GILA	2020-05-05	4007	0
GILA	2020-05-06	4007	1
GILA	2020-05-07	4007	2
GILA	2020-05-08	4007	2
GILA	2020-05-09	4007	0
GILA	2020-05-10	4007	0
GILA	2020-05-11	4007	0
GILA	2020-05-12	4007	0
GILA	2020-05-13	4007	0
GILA	2020-05-14	4007	2
GILA	2020-05-15	4007	1
GILA	2020-05-16	4007	0
GILA	2020-05-17	4007	0
GILA	2020-05-18	4007	0
GILA	2020-05-19	4007	0
GILA	2020-05-20	4007	0
GILA	2020-05-21	4007	0
GILA	2020-05-22	4007	2
GILA	2020-05-23	4007	0
GILA	2020-05-24	4007	0
GILA	2020-05-25	4007	0
GILA	2020-05-26	4007	0
GILA	2020-05-27	4007	1
GILA	2020-05-28	4007	0
GILA	2020-05-29	4007	3
GILA	2020-05-30	4007	2
GILA	2020-05-31	4007	1
GILA	2020-06-01	4007	0
GILA	2020-06-02	4007	4
GILA	2020-06-03	4007	2
GILA	2020-06-04	4007	2
GILA	2020-06-05	4007	3
GILA	2020-06-06	4007	1
GILA	2020-06-07	4007	2
GILA	2020-06-08	4007	1
GILA	2020-06-09	4007	1
GILA	2020-06-10	4007	1
GILA	2020-06-11	4007	1
GILA	2020-06-12	4007	5
GILA	2020-06-13	4007	5
GILA	2020-06-14	4007	11
GILA	2020-06-15	4007	17
GILA	2020-06-16	4007	4
GILA	2020-06-17	4007	8
GILA	2020-06-18	4007	16
GILA	2020-06-19	4007	10
GILA	2020-06-20	4007	18
GILA	2020-06-21	4007	17
GILA	2020-06-22	4007	16
GILA	2020-06-23	4007	16
GILA	2020-06-24	4007	9
GILA	2020-06-25	4007	15
GILA	2020-06-26	4007	21
GILA	2020-06-27	4007	12
GILA	2020-06-28	4007	19
GILA	2020-06-29	4007	3
GILA	2020-06-30	4007	21
GILA	2020-07-01	4007	17
GILA	2020-07-02	4007	5
GILA	2020-07-03	4007	11
GILA	2020-07-04	4007	10
GILA	2020-07-05	4007	19
GILA	2020-07-06	4007	-5
GILA	2020-07-07	4007	12
GILA	2020-07-08	4007	12
GILA	2020-07-09	4007	12
GILA	2020-07-10	4007	39
GILA	2020-07-11	4007	15
GILA	2020-07-12	4007	6
GILA	2020-07-13	4007	1
GILA	2020-07-14	4007	22
GILA	2020-07-15	4007	11
GILA	2020-07-16	4007	3
GILA	2020-07-17	4007	30
GILA	2020-07-18	4007	39
GILA	2020-07-19	4007	19
GILA	2020-07-20	4007	3
GILA	2020-07-21	4007	23
GILA	2020-07-22	4007	4
GILA	2020-07-23	4007	22
GILA	2020-07-24	4007	22
GILA	2020-07-25	4007	42
GILA	2020-07-26	4007	28
GILA	2020-07-27	4007	-11
GILA	2020-07-28	4007	21
GILA	2020-07-29	4007	6
GRAHAM	2020-03-14	4009	1
GRAHAM	2020-03-15	4009	0
GRAHAM	2020-03-16	4009	0
GRAHAM	2020-03-17	4009	0
GRAHAM	2020-03-18	4009	0
GRAHAM	2020-03-19	4009	0
GRAHAM	2020-03-20	4009	0
GRAHAM	2020-03-21	4009	0
GRAHAM	2020-03-22	4009	1
GRAHAM	2020-03-23	4009	0
GRAHAM	2020-03-24	4009	0
GRAHAM	2020-03-25	4009	0
GRAHAM	2020-03-26	4009	0
GRAHAM	2020-03-27	4009	2
GRAHAM	2020-03-28	4009	-2
GRAHAM	2020-03-29	4009	0
GRAHAM	2020-03-30	4009	0
GRAHAM	2020-03-31	4009	0
GRAHAM	2020-04-01	4009	0
GRAHAM	2020-04-02	4009	0
GRAHAM	2020-04-03	4009	0
GRAHAM	2020-04-04	4009	1
GRAHAM	2020-04-05	4009	-1
GRAHAM	2020-04-06	4009	0
GRAHAM	2020-04-07	4009	0
GRAHAM	2020-04-08	4009	0
GRAHAM	2020-04-09	4009	0
GRAHAM	2020-04-10	4009	0
GRAHAM	2020-04-11	4009	0
GRAHAM	2020-04-12	4009	0
GRAHAM	2020-04-13	4009	0
GRAHAM	2020-04-14	4009	0
GRAHAM	2020-04-15	4009	0
GRAHAM	2020-04-16	4009	0
GRAHAM	2020-04-17	4009	0
GRAHAM	2020-04-18	4009	0
GRAHAM	2020-04-19	4009	0
GRAHAM	2020-04-20	4009	0
GRAHAM	2020-04-21	4009	0
GRAHAM	2020-04-22	4009	0
GRAHAM	2020-04-23	4009	2
GRAHAM	2020-04-24	4009	3
GRAHAM	2020-04-25	4009	-1
GRAHAM	2020-04-26	4009	1
GRAHAM	2020-04-27	4009	2
GRAHAM	2020-04-28	4009	0
GRAHAM	2020-04-29	4009	1
GRAHAM	2020-04-30	4009	6
GRAHAM	2020-05-01	4009	1
GRAHAM	2020-05-02	4009	0
GRAHAM	2020-05-03	4009	1
GRAHAM	2020-05-04	4009	0
GRAHAM	2020-05-05	4009	1
GRAHAM	2020-05-06	4009	0
GRAHAM	2020-05-07	4009	0
GRAHAM	2020-05-08	4009	-1
GRAHAM	2020-05-09	4009	1
GRAHAM	2020-05-10	4009	0
GRAHAM	2020-05-11	4009	0
GRAHAM	2020-05-12	4009	1
GRAHAM	2020-05-13	4009	1
GRAHAM	2020-05-14	4009	0
GRAHAM	2020-05-15	4009	0
GRAHAM	2020-05-16	4009	-1
GRAHAM	2020-05-17	4009	0
GRAHAM	2020-05-18	4009	0
GRAHAM	2020-05-19	4009	0
GRAHAM	2020-05-20	4009	1
GRAHAM	2020-05-21	4009	0
GRAHAM	2020-05-22	4009	0
GRAHAM	2020-05-23	4009	0
GRAHAM	2020-05-24	4009	0
GRAHAM	2020-05-25	4009	3
GRAHAM	2020-05-26	4009	-1
GRAHAM	2020-05-27	4009	2
GRAHAM	2020-05-28	4009	1
GRAHAM	2020-05-29	4009	1
GRAHAM	2020-05-30	4009	1
GRAHAM	2020-05-31	4009	4
GRAHAM	2020-06-01	4009	0
GRAHAM	2020-06-02	4009	5
GRAHAM	2020-06-03	4009	4
GRAHAM	2020-06-04	4009	-3
GRAHAM	2020-06-05	4009	2
GRAHAM	2020-06-06	4009	-1
GRAHAM	2020-06-07	4009	1
GRAHAM	2020-06-08	4009	1
GRAHAM	2020-06-09	4009	1
GRAHAM	2020-06-10	4009	3
GRAHAM	2020-06-11	4009	3
GRAHAM	2020-06-12	4009	0
GRAHAM	2020-06-13	4009	0
GRAHAM	2020-06-14	4009	2
GRAHAM	2020-06-15	4009	0
GRAHAM	2020-06-16	4009	5
GRAHAM	2020-06-17	4009	1
GRAHAM	2020-06-18	4009	2
GRAHAM	2020-06-19	4009	1
GRAHAM	2020-06-20	4009	2
GRAHAM	2020-06-21	4009	2
GRAHAM	2020-06-22	4009	2
GRAHAM	2020-06-23	4009	1
GRAHAM	2020-06-24	4009	5
GRAHAM	2020-06-25	4009	-1
GRAHAM	2020-06-26	4009	5
GRAHAM	2020-06-27	4009	7
GRAHAM	2020-06-28	4009	3
GRAHAM	2020-06-29	4009	7
GRAHAM	2020-06-30	4009	4
GRAHAM	2020-07-01	4009	12
GRAHAM	2020-07-02	4009	9
GRAHAM	2020-07-03	4009	8
GRAHAM	2020-07-04	4009	2
GRAHAM	2020-07-05	4009	13
GRAHAM	2020-07-06	4009	12
GRAHAM	2020-07-07	4009	20
GRAHAM	2020-07-08	4009	7
GRAHAM	2020-07-09	4009	1
GRAHAM	2020-07-10	4009	4
GRAHAM	2020-07-11	4009	17
GRAHAM	2020-07-12	4009	3
GRAHAM	2020-07-13	4009	3
GRAHAM	2020-07-14	4009	11
GRAHAM	2020-07-15	4009	3
GRAHAM	2020-07-16	4009	15
GRAHAM	2020-07-17	4009	4
GRAHAM	2020-07-18	4009	38
