state	date	fips	new.cases	abbr
ILLINOIS	2020-07-26	17	1410	IL
UTAH	2020-07-26	49	350	UT
MICHIGAN	2020-07-26	26	1085	MI
NEBRASKA	2020-07-26	31	206	NE
SOUTH DAKOTA	2020-07-26	46	90	SD
COLORADO	2020-07-26	8	517	CO
DISTRICT OF COLUMBIA	2020-07-26	11	63	DC
WEST VIRGINIA	2020-07-26	54	139	WV
MONTANA	2020-07-26	30	82	MT
OHIO	2020-07-26	39	889	OH
WASHINGTON	2020-07-26	53	538	WA
OREGON	2020-07-26	41	272	OR
KENTUCKY	2020-07-26	21	287	KY
KANSAS	2020-07-26	20	185	KS
NEW JERSEY	2020-07-26	34	505	NJ
MASSACHUSETTS	2020-07-26	25	369	MA
PENNSYLVANIA	2020-07-26	42	652	PA
WYOMING	2020-07-26	56	29	WY
HAWAII	2020-07-26	15	63	HI
NEW YORK	2020-07-26	36	532	NY
MAINE	2020-07-26	23	24	ME
NEW HAMPSHIRE	2020-07-26	33	21	NH
VERMONT	2020-07-26	50	4	VT
CONNECTICUT	2020-07-26	9	0	CN
RHODE ISLAND	2020-07-26	44	0	RI
FLORIDA	2020-07-25	12	12199	FL
ARIZONA	2020-07-25	4	3663	AZ
MISSISSIPPI	2020-07-25	28	1434	MS
ALABAMA	2020-07-25	1	2125	AL
GEORGIA	2020-07-25	13	3530	GA
NEVADA	2020-07-25	32	980	NV
IDAHO	2020-07-25	16	509	ID
TEXAS	2020-07-25	48	7947	TX
SOUTH CAROLINA	2020-07-25	45	1401	SC
TENNESSEE	2020-07-25	47	1792	TN
CALIFORNIA	2020-07-25	6	10231	CA
OKLAHOMA	2020-07-25	40	965	OK
ARKANSAS	2020-07-25	5	732	AR
MARYLAND	2020-07-25	24	1291	MD
NORTH CAROLINA	2020-07-25	37	2071	NC
MISSOURI	2020-07-25	29	1086	MO
UTAH	2020-07-25	49	560	UT
KENTUCKY	2020-07-25	21	767	KY
ALASKA	2020-07-25	2	120	AK
NORTH DAKOTA	2020-07-25	38	122	ND
NEW MEXICO	2020-07-25	35	313	NM
VIRGINIA	2020-07-25	51	1245	VA
WISCONSIN	2020-07-25	55	840	WI
IOWA	2020-07-25	19	452	IA
MINNESOTA	2020-07-25	27	803	MN
INDIANA	2020-07-25	18	949	IN
MONTANA	2020-07-25	30	147	MT
COLORADO	2020-07-25	8	749	CO
NEBRASKA	2020-07-25	31	238	NE
OHIO	2020-07-25	39	1438	OH
SOUTH DAKOTA	2020-07-25	46	105	SD
ILLINOIS	2020-07-25	17	1293	IL
DISTRICT OF COLUMBIA	2020-07-25	11	68	DC
WASHINGTON	2020-07-25	53	605	WA
OREGON	2020-07-25	41	320	OR
WYOMING	2020-07-25	56	41	WY
WEST VIRGINIA	2020-07-25	54	126	WV
PENNSYLVANIA	2020-07-25	42	779	PA
NEW JERSEY	2020-07-25	34	513	NJ
HAWAII	2020-07-25	15	71	HI
MICHIGAN	2020-07-25	26	427	MI
MASSACHUSETTS	2020-07-25	25	283	MA
NEW YORK	2020-07-25	36	748	NY
NEW HAMPSHIRE	2020-07-25	33	40	NH
MAINE	2020-07-25	23	33	ME
KANSAS	2020-07-25	20	61	KS
VERMONT	2020-07-25	50	11	VT
CONNECTICUT	2020-07-25	9	0	CN
LOUISIANA	2020-07-25	22	0	LA
RHODE ISLAND	2020-07-25	44	0	RI
DELAWARE	2020-07-25	10	-27	DE
FLORIDA	2020-07-24	12	12444	FL
MISSISSIPPI	2020-07-24	28	1610	MS
ARIZONA	2020-07-24	4	3363	AZ
LOUISIANA	2020-07-24	22	2084	LA
SOUTH CAROLINA	2020-07-24	45	2001	SC
ALABAMA	2020-07-24	1	1793	AL
GEORGIA	2020-07-24	13	3875	GA
ARKANSAS	2020-07-24	5	990	AR
IDAHO	2020-07-24	16	549	ID
KANSAS	2020-07-24	20	885	KS
NEVADA	2020-07-24	32	925	NV
TENNESSEE	2020-07-24	47	2015	TN
OKLAHOMA	2020-07-24	40	1147	OK
DELAWARE	2020-07-24	10	278	DE
UTAH	2020-07-24	49	885	UT
TEXAS	2020-07-24	48	7558	TX
CALIFORNIA	2020-07-24	6	9921	CA
MISSOURI	2020-07-24	29	1301	MO
NORTH CAROLINA	2020-07-24	37	2155	NC
IOWA	2020-07-24	19	638	IA
WISCONSIN	2020-07-24	55	1144	WI
NEBRASKA	2020-07-24	31	356	NE
KENTUCKY	2020-07-24	21	800	KY
MONTANA	2020-07-24	30	189	MT
NORTH DAKOTA	2020-07-24	38	121	ND
MARYLAND	2020-07-24	24	930	MD
CONNECTICUT	2020-07-24	9	544	CN
INDIANA	2020-07-24	18	1002	IN
NEW MEXICO	2020-07-24	35	312	NM
MINNESOTA	2020-07-24	27	767	MN
WASHINGTON	2020-07-24	53	1024	WA
OHIO	2020-07-24	39	1560	OH
VIRGINIA	2020-07-24	51	1127	VA
ILLINOIS	2020-07-24	17	1610	IL
COLORADO	2020-07-24	8	689	CO
DISTRICT OF COLUMBIA	2020-07-24	11	78	DC
WYOMING	2020-07-24	56	58	WY
OREGON	2020-07-24	41	407	OR
PENNSYLVANIA	2020-07-24	42	1189	PA
ALASKA	2020-07-24	2	64	AK
WEST VIRGINIA	2020-07-24	54	145	WV
RHODE ISLAND	2020-07-24	44	76	RI
MICHIGAN	2020-07-24	26	653	MI
SOUTH DAKOTA	2020-07-24	46	57	SD
NEW JERSEY	2020-07-24	34	458	NJ
MASSACHUSETTS	2020-07-24	25	338	MA
NEW HAMPSHIRE	2020-07-24	33	57	NH
HAWAII	2020-07-24	15	58	HI
NEW YORK	2020-07-24	36	758	NY
MAINE	2020-07-24	23	20	ME
VERMONT	2020-07-24	50	8	VT
LOUISIANA	2020-07-23	22	2296	LA
ALABAMA	2020-07-23	1	2399	AL
FLORIDA	2020-07-23	12	10249	FL
GEORGIA	2020-07-23	13	4737	GA
NEVADA	2020-07-23	32	1329	NV
TENNESSEE	2020-07-23	47	2480	TN
ARKANSAS	2020-07-23	5	1013	AR
MISSISSIPPI	2020-07-23	28	982	MS
TEXAS	2020-07-23	48	9543	TX
ARIZONA	2020-07-23	4	2370	AZ
SOUTH CAROLINA	2020-07-23	45	1564	SC
CALIFORNIA	2020-07-23	6	10647	CA
IDAHO	2020-07-23	16	467	ID
MISSOURI	2020-07-23	29	1469	MO
IOWA	2020-07-23	19	588	IA
NORTH CAROLINA	2020-07-23	37	1904	NC
NEBRASKA	2020-07-23	31	332	NE
OKLAHOMA	2020-07-23	40	668	OK
WISCONSIN	2020-07-23	55	974	WI
NORTH DAKOTA	2020-07-23	38	126	ND
NEW MEXICO	2020-07-23	35	335	NM
UTAH	2020-07-23	49	501	UT
KENTUCKY	2020-07-23	21	659	KY
INDIANA	2020-07-23	18	953	IN
DELAWARE	2020-07-23	10	132	DE
MINNESOTA	2020-07-23	27	760	MN
ILLINOIS	2020-07-23	17	1624	IL
OHIO	2020-07-23	39	1444	OH
COLORADO	2020-07-23	8	662	CO
MARYLAND	2020-07-23	24	658	MD
WASHINGTON	2020-07-23	53	813	WA
WYOMING	2020-07-23	56	59	WY
VIRGINIA	2020-07-23	51	844	VA
ALASKA	2020-07-23	2	65	AK
RHODE ISLAND	2020-07-23	44	86	RI
MONTANA	2020-07-23	30	84	MT
OREGON	2020-07-23	41	329	OR
SOUTH DAKOTA	2020-07-23	46	66	SD
MICHIGAN	2020-07-23	26	694	MI
PENNSYLVANIA	2020-07-23	42	886	PA
DISTRICT OF COLUMBIA	2020-07-23	11	42	DC
WEST VIRGINIA	2020-07-23	54	89	WV
KANSAS	2020-07-23	20	142	KS
MASSACHUSETTS	2020-07-23	25	327	MA
NEW YORK	2020-07-23	36	810	NY
HAWAII	2020-07-23	15	55	HI
NEW JERSEY	2020-07-23	34	242	NJ
VERMONT	2020-07-23	50	11	VT
NEW HAMPSHIRE	2020-07-23	33	23	NH
MAINE	2020-07-23	23	14	ME
CONNECTICUT	2020-07-23	9	9	CN
LOUISIANA	2020-07-22	22	2773	LA
MISSISSIPPI	2020-07-22	28	1547	MS
FLORIDA	2020-07-22	12	9785	FL
TEXAS	2020-07-22	48	10967	TX
NEVADA	2020-07-22	32	1154	NV
SOUTH CAROLINA	2020-07-22	45	1705	SC
TENNESSEE	2020-07-22	47	2146	TN
CALIFORNIA	2020-07-22	6	12162	CA
GEORGIA	2020-07-22	13	3255	GA
ALABAMA	2020-07-22	1	1455	AL
IDAHO	2020-07-22	16	496	ID
ARIZONA	2020-07-22	4	1929	AZ
KANSAS	2020-07-22	20	770	KS
OKLAHOMA	2020-07-22	40	975	OK
NORTH DAKOTA	2020-07-22	38	160	ND
NORTH CAROLINA	2020-07-22	37	2082	NC
MISSOURI	2020-07-22	29	1206	MO
ARKANSAS	2020-07-22	5	591	AR
UTAH	2020-07-22	49	588	UT
IOWA	2020-07-22	19	487	IA
NEBRASKA	2020-07-22	31	296	NE
WISCONSIN	2020-07-22	55	884	WI
NEW MEXICO	2020-07-22	35	311	NM
WEST VIRGINIA	2020-07-22	54	262	WV
DISTRICT OF COLUMBIA	2020-07-22	11	102	DC
OHIO	2020-07-22	39	1527	OH
ALASKA	2020-07-22	2	94	AK
ILLINOIS	2020-07-22	17	1608	IL
VIRGINIA	2020-07-22	51	1022	VA
KENTUCKY	2020-07-22	21	531	KY
INDIANA	2020-07-22	18	782	IN
MARYLAND	2020-07-22	24	627	MD
COLORADO	2020-07-22	8	595	CO
MONTANA	2020-07-22	30	99	MT
WASHINGTON	2020-07-22	53	696	WA
MINNESOTA	2020-07-22	27	504	MN
WYOMING	2020-07-22	56	50	WY
RHODE ISLAND	2020-07-22	44	76	RI
MICHIGAN	2020-07-22	26	707	MI
SOUTH DAKOTA	2020-07-22	46	58	SD
PENNSYLVANIA	2020-07-22	42	807	PA
DELAWARE	2020-07-22	10	46	DE
OREGON	2020-07-22	41	179	OR
